recipe_title,recipe_type,dialog_id_good,dialog_id_bad,human_good_overall,human_bad_overall,human_delta_overall,llm_good_overall,llm_bad_overall,llm_delta_overall,human_delta_relevance,llm_delta_relevance,human_delta_truthfulness,llm_delta_truthfulness,human_delta_logic_coherence,llm_delta_logic_coherence,human_delta_respect_appreciation,llm_delta_respect_appreciation,human_delta_relational_appropriateness,llm_delta_relational_appropriateness,human_delta_feedback_depth,llm_delta_feedback_depth,human_subscale_pos_frac,llm_subscale_pos_frac,pass_precheck,precheck_fail_reasons,human_delta_z,llm_delta_z,rank_score
Orange Beef Kabobs with Grilled Fruit,savory,D021,D063,7.0,1.0,6.0,7.0,1.0,6.0,4.5,5.0,5.5,3.0,5.5,6.0,5.5,6.0,4.5,6.0,6.0,6.0,1.0,1.0,True,,1.7312751939867326,2.1730674684008826,3.904342662387615
Red Bliss Potato Salad with Gorgonzola and Walnuts,sweet,D007,D048,5.0,1.5,3.5,7.0,1.0,6.0,2.5,4.0,3.5,5.0,3.5,4.0,5.5,6.0,5.5,6.0,3.5,4.0,1.0,1.0,True,,-0.3189191146817665,2.1730674684008826,1.8541483537191161
Sweet and Nutty Pork Chops,savory,D025,D070,7.0,4.0,3.0,7.0,1.0,6.0,2.5,5.0,2.5,5.0,3.5,6.0,5.0,6.0,3.5,6.0,2.5,6.0,1.0,1.0,True,,-0.7289579764154663,2.1730674684008826,1.4441094919854163
Bourbon Wieners,sweet,D002,D042,6.5,1.0,5.5,6.0,1.0,5.0,6.0,4.0,6.0,4.0,5.5,5.0,6.0,6.0,6.0,6.0,5.5,5.0,1.0,1.0,True,,1.3212363322530327,-0.43461349368017743,0.8866228385728553
Turkey Tom Kha Gai,savory,D024,D069,7.0,2.0,5.0,6.0,1.0,5.0,4.5,4.0,2.5,2.0,5.0,3.0,5.5,5.0,5.0,5.0,5.5,4.0,1.0,1.0,True,,0.911197470519333,-0.43461349368017743,0.47658397683915554
Mock Caprese Salad,savory,D033,D062,7.0,2.0,5.0,6.0,1.0,5.0,2.5,3.0,4.0,2.0,5.0,3.0,5.5,5.0,5.5,5.0,3.5,4.0,1.0,1.0,True,,0.911197470519333,-0.43461349368017743,0.47658397683915554
Apple Pie Filling,sweet,D040,D077,7.0,2.5,4.5,6.0,1.0,5.0,4.5,4.0,5.0,3.0,4.5,4.0,5.0,6.0,5.0,6.0,5.0,5.0,1.0,1.0,True,,0.5011586087856331,-0.43461349368017743,0.06654511510545569
Carrot and Sweet Potato Tzimmes,savory,D037,D071,6.5,2.0,4.5,6.0,1.0,5.0,4.5,4.0,4.5,3.0,4.5,4.0,5.0,6.0,4.5,6.0,3.5,5.0,1.0,1.0,True,,0.5011586087856331,-0.43461349368017743,0.06654511510545569
Carrot Casserole,savory,D019,D060,6.0,1.5,4.5,6.0,1.0,5.0,4.0,4.0,3.0,4.0,3.5,5.0,4.5,6.0,5.0,6.0,3.5,5.0,1.0,1.0,True,,0.5011586087856331,-0.43461349368017743,0.06654511510545569
Mom's Margarine Cake,sweet,D014,D055,6.0,1.5,4.5,6.0,1.0,5.0,5.5,4.0,5.0,3.0,4.5,5.0,5.0,6.0,4.5,6.0,5.5,5.0,1.0,1.0,True,,0.5011586087856331,-0.43461349368017743,0.06654511510545569
That Addicting Salad,savory,D018,D059,6.5,2.5,4.0,6.0,1.0,5.0,3.0,4.0,3.0,3.0,3.0,5.0,6.0,6.0,6.0,6.0,3.0,5.0,1.0,1.0,True,,0.09111974705193333,-0.43461349368017743,-0.3434937466282441
Layered Mousse Bites,sweet,D038,D072,5.0,1.0,4.0,6.0,1.0,5.0,4.5,3.0,4.0,4.0,4.5,4.0,6.0,5.0,6.0,5.0,4.5,5.0,1.0,1.0,True,,0.09111974705193333,-0.43461349368017743,-0.3434937466282441
Cuban-Style Pork and Sweet Potatoes,savory,D032,D080,5.5,2.0,3.5,6.0,1.0,5.0,3.5,4.0,4.5,3.0,3.5,4.0,5.0,6.0,5.0,6.0,2.5,5.0,1.0,1.0,True,,-0.3189191146817665,-0.43461349368017743,-0.7535326083619439
Whole Grain Barley and Apple Porridge,sweet,D009,D050,6.5,3.0,3.5,6.0,1.0,5.0,3.0,3.0,4.5,4.0,3.5,3.0,5.0,5.0,5.0,5.0,3.5,3.0,1.0,1.0,True,,-0.3189191146817665,-0.43461349368017743,-0.7535326083619439
Au Gratin-Pumpkin Layered Casserole,savory,D034,D064,4.5,1.5,3.0,6.0,1.0,5.0,4.0,3.0,3.5,2.0,3.0,3.0,5.0,6.0,5.0,6.0,3.0,4.0,1.0,1.0,True,,-0.7289579764154663,-0.43461349368017743,-1.1635714700956439
Minted Marinated Zucchini,savory,D035,D065,3.5,1.0,2.5,6.0,1.0,5.0,2.0,3.0,3.0,4.0,2.0,3.0,4.0,6.0,5.0,6.0,1.5,4.0,1.0,1.0,True,,-1.1389968381491662,-0.43461349368017743,-1.5736103318293435
White Chocolate and Passion Fruit Cheesecake,sweet,D026,D074,5.5,4.5,1.0,6.0,1.0,5.0,1.5,4.0,2.5,4.0,2.5,4.0,5.0,6.0,4.0,6.0,2.5,5.0,1.0,1.0,True,,-2.3691134233502655,-0.43461349368017743,-2.803726917030443
